name,latent_procrustes_lin,latent_procrustes_rot,input_procrustes_lin,input_procrustes_rot,datamodule,model,model.co_dim,model.dropout_rate,model.gen_cell.scale,model.gen_dim,model.kl_co_scale,model.kl_ic_scale,model.l2_con_scale,model.l2_gen_scale
run_model_2634d_00000,1.1327776822317888,0.4637793784552755,1.1118378644566913,0.9038075631098272,murray_rec_pfc,odinlin_arprior,2,0.2163894095744779,0.05,10,1.0790840445381398e-06,0.00027530285650729846,0.02670195766859458,0.447736303184423
run_model_2634d_00001,1.255052946722269,0.5485830383478902,1.2025984860805656,1.2176419210311806,murray_rec_pfc,odinlin_mvnprior,4,0.4174499965861691,0.05,20,7.415575271957047e-05,0.00028025970618041296,0.26891628709146725,0.00010255432976732007
run_model_2634d_00002,1.2565163507383807,0.41344881260228517,1.4754543077063014,1.4754543077063011,murray_rec_pfc,odinlin_arprior,1,0.27026224824102363,0.05,20,5.3254688005638946e-05,4.2109846735288526e-05,0.004906241083254889,0.0015806931168292108
run_model_2634d_00003,0.9122535724782092,0.3229230829288548,0.968094809740847,0.6519430739231026,murray_rec_pfc,odinlin_arprior,2,0.2497133105998256,0.05,5,2.194061664763006e-05,8.741149231878368e-05,0.003425391510598943,0.02894279349282436
run_model_2634d_00004,1.254429848699854,0.44578044799357963,1.1229001879604237,0.999942938027294,murray_rec_pfc,odinlin_mvnprior,4,0.4742167937922779,0.05,20,1.999486851269563e-05,0.00011623587566145872,0.00034704518246694713,0.0035948907446999856
run_model_2634d_00005,1.2561313851870897,0.45494996083568195,1.220040067648476,1.206871949447621,murray_rec_pfc,odinlin_arprior,2,0.41014172899029033,0.05,20,4.173339838585534e-06,2.8675174965950767e-05,0.544720931485979,0.3613693690103395
run_model_2634d_00006,1.257434182802642,0.45252716282719924,1.3388107851694804,1.3485397385855338,murray_rec_pfc,odinlin_arprior,2,0.32874775643037685,0.05,20,1.5438320775328534e-05,1.0321282770792003e-05,0.3639966678769467,0.0036853267721421
run_model_2634d_00007,0.9398791735514721,0.5404261450968608,0.26752113487120976,0.26752113487120893,murray_rec_pfc,odinlin_arprior,1,0.44927485787441696,0.05,5,1.4724165394272428e-06,0.00031472587015729465,0.0009067295552309306,0.14073211999726248
run_model_2634d_00008,0.910262268948543,0.44947894583793063,1.0651621569286025,0.3305542989865392,murray_rec_pfc,odinlin_arprior,4,0.33444682421826416,0.05,5,1.9978318559628793e-06,2.2439754432582903e-05,0.0008366982024887132,0.1532135167445378
run_model_2634d_00009,0.9088839208233738,0.35788939877024256,1.0790889255253209,0.6621625999459564,murray_rec_pfc,odinlin_mvnprior,4,0.3618207359286113,0.05,5,2.4947445872003437e-06,1.8717986807898475e-06,0.0015659739427482423,0.020957020776530798
run_model_2634d_00010,1.2563084719398916,0.6179669622336849,1.3348769601191957,1.3477987964305034,murray_rec_pfc,odinlin_arprior,4,0.5768452442025991,0.05,20,5.373043250973052e-06,2.0724584806382103e-06,0.5112322143469579,0.03284222757620249
run_model_2634d_00011,1.1197987044627111,0.44657153868599153,0.9699336332677438,0.7395537924316749,murray_rec_pfc,odinlin_mvnprior,2,0.5818361974762949,0.05,10,9.995203193841142e-06,1.886626257594488e-05,0.9558418047801032,0.030258946818595134
run_model_2634d_00012,0.9267290967478162,0.5307857364786264,1.0618499414828737,0.24271762448218467,murray_rec_pfc,odinlin_arprior,4,0.5030915381233165,0.05,5,9.882012319599208e-06,3.872010092072568e-05,0.004556416306286427,0.13904097446453836
run_model_2634d_00013,1.2589918848623487,0.4060250665751181,1.0722974046713036,1.0722974046713034,murray_rec_pfc,odinlin_mvnprior,1,0.48445715119589994,0.05,20,7.31340077120962e-05,2.2120650793541792e-06,0.5125021769718517,0.0824252870568575
run_model_2634d_00014,1.2536845150419889,0.4002997125518198,1.243871473426429,1.124221170632978,murray_rec_pfc,odinlin_arprior,4,0.5454560360982303,0.05,20,9.17043802367711e-05,0.0007440986880783408,0.7771686176112378,0.0003936008692949492
run_model_2634d_00015,1.2567836832887507,0.32847601256222203,1.0269021109650396,0.9176440089631394,murray_rec_pfc,odinlin_mvnprior,2,0.5289495310172281,0.05,20,9.119601211802485e-06,4.978732110473153e-06,0.4944480166074264,0.16125838828239542
run_model_2634d_00016,1.1211837043060937,0.42537632630242955,1.3183150321563957,1.3183150321563957,murray_rec_pfc,odinlin_arprior,1,0.3771011315898126,0.05,10,7.278378422250213e-05,1.3229155872682771e-06,0.028674310771021234,0.08472757617947982
run_model_2634d_00017,0.9004936158523177,0.4055663951047481,0.8184215563100717,0.3188203851015919,murray_rec_pfc,odinlin_arprior,2,0.4876879091306961,0.05,5,1.0764242151322422e-06,0.00018786808438546034,0.5204953850233812,0.011246953330982433
run_model_2634d_00018,1.1461319580241003,0.39352596154612035,0.9619008960386145,0.9619008960386142,murray_rec_pfc,odinlin_mvnprior,1,0.22667600350684058,0.05,10,4.88224936504485e-06,1.9538723894770714e-05,0.017738927915705752,0.73155725749674
run_model_2634d_00019,0.9082303606190747,0.41236473745527813,1.2373812318034543,1.0556501106891931,murray_rec_pfc,odinlin_arprior,4,0.296670285637738,0.05,5,5.973606918604021e-05,4.760014604973908e-06,0.001423387108142767,0.000314933473619592
