name,rate_r2,st_rate_r2,fwd_latent_r2,st_fwd_latent_r2,bwd_latent_r2,st_bwd_latent_r2,fwd_input_r2,st_fwd_input_r2,bwd_input_r2,st_bwd_input_r2,datamodule,model,model.co_dim,model.dropout_rate,model.gen_dim,model.kl_co_scale,model.kl_ic_scale,model.l2_con_scale,model.l2_gen_scale
run_model_04c92_00000,0.9877694713771921,0.8574778841520954,0.989486420168464,0.8361503553424064,0.8949149929547439,-125324.54586085,0.9400590104183957,0.4634209902052734,0.29975309708792813,-0.6610838396968922,murray_rec_pfc,base_arprior,2,0.2163894095744779,20,1.0790840445381398e-06,0.00027530285650729846,0.02670195766859458,0.447736303184423
run_model_04c92_00001,0.9881577616977837,0.8870388243338505,0.9899868782217812,0.850518857850825,0.8199888775741616,0.5352677970306329,0.9630975574669446,0.7157525098892668,0.6339708722909168,-1.3866093605305367,murray_rec_pfc,base_mvnprior,4,0.4174499965861691,40,7.415575271957047e-05,0.00028025970618041296,0.26891628709146725,0.00010255432976732007
run_model_04c92_00002,0.9867987603535149,0.8219660452003229,0.9879626453848855,0.7837915489237725,0.8232343571671183,-673.3528820771156,0.3622032569841789,-4.621826452814985,0.3622032569841812,-2.014129245894081,murray_rec_pfc,base_arprior,1,0.27026224824102363,40,5.3254688005638946e-05,4.2109846735288526e-05,0.004906241083254889,0.0015806931168292108
run_model_04c92_00003,0.9879669816294482,0.8902091421193525,0.9853095155629892,0.5668901783050915,0.8678562609481592,0.3371219211186965,0.9671005847361845,0.758902497498579,0.8497871354060088,-0.45931044515652514,murray_rec_pfc,base_arprior,2,0.2497133105998256,10,2.194061664763006e-05,8.741149231878368e-05,0.003425391510598943,0.02894279349282436
run_model_04c92_00004,0.9884938200471767,0.8907641803103268,0.99019845909715,0.859435251269194,0.8336163735771193,0.4469306684654669,0.9622908723339875,0.6748641644374952,0.631145718782338,-3.362279941098781,murray_rec_pfc,base_mvnprior,4,0.4742167937922779,40,1.999486851269563e-05,0.00011623587566145872,0.00034704518246694713,0.0035948907446999856
run_model_04c92_00005,0.9876628683310644,0.8580878134981114,0.9896536763041599,0.8605595224294029,0.8554478856647474,0.604236901647233,0.9608340621018744,0.6198875040122905,0.7707360010438191,-0.5044009283564811,murray_rec_pfc,base_arprior,2,0.41014172899029033,40,4.173339838585534e-06,2.8675174965950767e-05,0.544720931485979,0.3613693690103395
run_model_04c92_00006,0.9875618679717973,0.8262613795544039,0.9896035091845488,0.8427593500365512,0.8500566257304062,0.5734650989877816,0.9627853609730138,0.6637062766482459,0.8219757429530947,0.02721546076054223,murray_rec_pfc,base_arprior,2,0.32874775643037685,40,1.5438320775328534e-05,1.0321282770792003e-05,0.3639966678769467,0.0036853267721421
run_model_04c92_00007,0.9758441962529082,0.4481312729525527,0.9685760715160159,-0.12907359855823256,0.865247736418888,0.557093585183496,0.5668080703478193,-1.765567838982847,0.5668080703478127,0.2902103587436685,murray_rec_pfc,base_arprior,1,0.44927485787441696,10,1.4724165394272428e-06,0.00031472587015729465,0.0009067295552309306,0.14073211999726248
run_model_04c92_00008,0.9882416266396488,0.889262498059525,0.9887403684068212,0.8312044471898474,0.9603999883349589,0.6689149370411037,0.9732863202531875,0.7876312840978024,0.7385019449037977,-0.9722315789929592,murray_rec_pfc,base_arprior,4,0.33444682421826416,10,1.9978318559628793e-06,2.2439754432582903e-05,0.0008366982024887132,0.1532135167445378
run_model_04c92_00009,0.9865975202362147,0.8817090445327349,0.9880175780914326,0.8103696909746265,0.9760267746981617,0.2580426377168681,0.9602858635860159,0.7162948800514801,0.6729359116837345,-0.06555607959953562,murray_rec_pfc,base_mvnprior,4,0.3618207359286113,10,2.4947445872003437e-06,1.8717986807898475e-06,0.0015659739427482423,0.020957020776530798
run_model_04c92_00010,0.9877797775593762,0.8805965678934781,0.9898620510268561,0.8603758571290119,0.8534998427982436,-0.5273758928882808,0.9708618632152853,0.7895598516368587,0.5690826512949801,-3.692554848242895,murray_rec_pfc,base_arprior,4,0.5768452442025991,40,5.373043250973052e-06,2.0724584806382103e-06,0.5112322143469579,0.03284222757620249
run_model_04c92_00011,0.9876227482204366,0.8686709113485265,0.9880904886015539,0.8140980099115697,0.8677208298513215,0.5168508982151779,0.9640998015066601,0.6388567653568286,0.5628130729927052,-0.026728709821298977,murray_rec_pfc,base_mvnprior,2,0.5818361974762949,20,9.995203193841142e-06,1.886626257594488e-05,0.9558418047801032,0.030258946818595134
run_model_04c92_00012,0.987231977169968,0.8473729885572617,0.9879820740239026,0.772207817313678,0.9452335801545304,0.721114697921193,0.9654167108169855,0.7640572313522009,0.47364577231645244,-1.0941137122736508,murray_rec_pfc,base_arprior,4,0.5030915381233165,10,9.882012319599208e-06,3.872010092072568e-05,0.004556416306286427,0.13904097446453836
run_model_04c92_00013,0.9864968970651835,0.8275636219768178,0.9886025943582959,0.8124146720360887,0.6317817892855191,0.4149630562596815,0.06054706117922615,-2.0886438994880883,0.060547061179223705,-0.08231116556165612,murray_rec_pfc,base_mvnprior,1,0.48445715119589994,40,7.31340077120962e-05,2.2120650793541792e-06,0.5125021769718517,0.0824252870568575
run_model_04c92_00014,0.9867709911087604,0.8492250482374741,0.9888020391598505,0.8324714573380666,0.8262717715822625,0.45452468340748303,0.9462915617295022,0.40612834288761934,0.2365126118087442,0.031893141924662166,murray_rec_pfc,base_arprior,4,0.5454560360982303,40,9.17043802367711e-05,0.0007440986880783408,0.7771686176112378,0.0003936008692949492
run_model_04c92_00015,0.9881386452656071,0.8753254643216423,0.9899122045935824,0.8585636063350119,0.8419743944008928,0.6167903494115474,0.9571961621629508,0.6713247447249687,0.6969545241926635,-0.11140740553807696,murray_rec_pfc,base_mvnprior,2,0.5289495310172281,40,9.119601211802485e-06,4.978732110473153e-06,0.4944480166074264,0.16125838828239542
run_model_04c92_00016,0.9866817275222798,0.7498283835250704,0.9855695640282496,0.6309028248088042,0.8330335072081588,-30.08324530605664,0.47693420164804656,-4.199741161711785,0.4769342016480429,-1.5232866790222173,murray_rec_pfc,base_arprior,1,0.3771011315898126,20,7.278378422250213e-05,1.3229155872682771e-06,0.028674310771021234,0.08472757617947982
run_model_04c92_00017,0.9877938443964452,0.9012906000041347,0.9855318289267302,0.5982349570097638,0.832044159410988,-6.091062828561492,0.9535545647644449,0.7150807948689394,0.8777337965465513,-0.40802935606209,murray_rec_pfc,base_arprior,2,0.4876879091306961,10,1.0764242151322422e-06,0.00018786808438546034,0.5204953850233812,0.011246953330982433
run_model_04c92_00018,0.9850266724200117,0.7606910058313804,0.9843604208757848,0.5914404427635809,0.8609857967768155,-171.7532592949496,0.3086869512883601,-3.207619905040553,0.3086869512883511,-1.9834766348152124,murray_rec_pfc,base_mvnprior,1,0.22667600350684058,20,4.88224936504485e-06,1.9538723894770714e-05,0.017738927915705752,0.73155725749674
run_model_04c92_00019,0.9869512753433978,0.8427552451503588,0.987580585781862,0.7418230307427266,0.9139038775327937,0.6546041966443208,0.9597846255146989,0.7243267794930103,0.3372661127400834,0.04701616832123699,murray_rec_pfc,base_arprior,4,0.296670285637738,10,5.973606918604021e-05,4.760014604973908e-06,0.001423387108142767,0.000314933473619592
