name,latent_procrustes_lin,latent_procrustes_rot,input_procrustes_lin,input_procrustes_rot,datamodule,model,model.ci_enc_dim,model.co_dim,model.con_dim,model.dropout_rate,model.ext_input_dim,model.gen_cell.scale,model.gen_dim,model.kl_co_scale,model.kl_ic_scale,model.l2_con_scale,model.l2_gen_scale
run_model_2d080_00000,1.2672280486472531,0.7527091848136558,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.3079146855055481,2,0.05,20,1.2076665792328135e-06,1.120941392828578e-06,0.447736303184423,0.1790939671847833
run_model_2d080_00001,1.144030778529265,0.46094914466873294,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.44265431030687197,2,0.05,10,2.8773528450070836e-05,4.274398161693904e-05,0.18340628601973463,0.5499075661406078
run_model_2d080_00002,1.2613236398775918,0.5052889414949147,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.5429617106350277,2,0.05,20,1.1672695343339098e-06,0.00015451346766855238,0.2836061794577942,0.0005042228030788948
run_model_2d080_00003,0.931728427374016,0.5337772782632627,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.41658448809963666,2,0.05,5,3.975793149585637e-06,1.8537948170285836e-05,0.0003141471369267714,0.00012980119315177805
run_model_2d080_00004,0.936625872593826,0.5049204988527164,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.4588758046297,2,0.05,5,1.7012581665586315e-05,1.4159002641738985e-05,0.8381878382308892,0.9746299280198961
run_model_2d080_00005,1.2683926651646877,0.5385274647496162,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.4742167937922779,2,0.05,20,1.999486851269563e-05,0.00011623587566145872,0.00034704518246694713,0.0035948907446999856
run_model_2d080_00006,1.1370597738358414,0.4685555985053759,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.41014172899029033,2,0.05,10,4.173339838585534e-06,2.8675174965950767e-05,0.544720931485979,0.3613693690103395
run_model_2d080_00007,1.2624803867858179,0.5880361079608051,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.3431180786836281,2,0.05,20,1.3901435898886447e-05,9.238642740866005e-06,0.002247216433003018,0.023834174836194107
run_model_2d080_00008,1.2684976043839165,0.5447949164962295,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.5561097408019169,2,0.05,20,2.8465262102705984e-06,7.40562017831689e-05,0.21408024377043972,0.00021680104655789
run_model_2d080_00009,1.1303280436347918,0.5599419016170564,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.5148393229954733,2,0.05,10,3.011195037241742e-06,0.0004260422723978781,0.002210386615698376,0.00017150316503695493
run_model_2d080_00010,1.1312818279346468,0.6458887260288128,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.3801357466597148,2,0.05,10,3.914249822693202e-05,4.91956413795156e-06,0.004151522148940408,0.00016146753089889106
run_model_2d080_00011,0.9388850064440046,0.4852149707089408,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.27940521780370214,2,0.05,5,1.5188192442250788e-06,5.508040919108843e-05,0.0487505491116247,0.0015659739427482423
run_model_2d080_00012,1.2604446972100054,0.6021297754555002,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.5768452442025991,2,0.05,20,5.373043250973052e-06,2.0724584806382103e-06,0.5112322143469579,0.03284222757620249
run_model_2d080_00013,0.9186050977022154,0.45849521585354436,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.3761508618863136,2,0.05,5,8.112990872598311e-05,3.160002608104065e-05,0.030258946818595134,0.00502243701857817
run_model_2d080_00014,1.1448029270815752,0.6056295342496055,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.5795774699751062,2,0.05,10,8.319366913037657e-06,0.00018758000190104764,0.013099316659429152,0.009765416748471062
run_model_2d080_00015,1.275196758308149,0.6076048698557914,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.514314280285523,2,0.05,20,6.750123188717693e-06,0.00015975362270646024,0.5348583084032942,0.06991518512855577
run_model_2d080_00016,0.9678874329235623,0.6068633913294457,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.4916060468305237,2,0.05,5,7.158925736252976e-05,0.0008012694224409808,0.2848133624214829,0.00011450520269350504
run_model_2d080_00017,0.9373743086269406,0.6311037572563863,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.5924780160265377,2,0.05,5,8.211459575535272e-05,2.7944222890926728e-06,0.36286261237414746,0.7771686176112378
run_model_2d080_00018,1.153188482215509,0.48030001400664535,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.39199516952313285,2,0.05,10,2.9157201573491496e-06,0.0002544730154631358,0.0011601685521086444,0.4944480166074264
run_model_2d080_00019,1.2675371506427835,0.5090922682365395,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.4155737630488747,2,0.05,20,7.682554643764785e-06,0.0006209433036483197,0.08472757617947982,0.00014522548808255627
