name,rate_r2,st_rate_r2,fwd_latent_r2,st_fwd_latent_r2,bwd_latent_r2,st_bwd_latent_r2,fwd_input_r2,st_fwd_input_r2,bwd_input_r2,st_bwd_input_r2,datamodule,model,model.ci_enc_dim,model.co_dim,model.con_dim,model.dropout_rate,model.ext_input_dim,model.gen_cell.scale,model.gen_dim,model.kl_co_scale,model.kl_ic_scale,model.l2_con_scale,model.l2_gen_scale
run_model_2d080_00000,0.9909438635357014,0.9055100591385515,0.9037112666715086,-0.6854963272391154,0.752481290702067,-0.031949730434353826,,,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.3079146855055481,2,0.05,20,1.2076665792328135e-06,1.120941392828578e-06,0.447736303184423,0.1790939671847833
run_model_2d080_00001,0.9841044739164742,0.8017701366721894,0.8623085024425221,-2.4248664514681395,0.8030451462296326,-3.705468549811644,,,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.44265431030687197,2,0.05,10,2.8773528450070836e-05,4.274398161693904e-05,0.18340628601973463,0.5499075661406078
run_model_2d080_00002,0.9926735879987466,0.9485242921206101,0.9520838173161538,-0.8693248230869378,0.7811010679315833,0.5197447869943524,,,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.5429617106350277,2,0.05,20,1.1672695343339098e-06,0.00015451346766855238,0.2836061794577942,0.0005042228030788948
run_model_2d080_00003,0.9903414754261786,0.8565650355843747,0.9117094567101887,-1.7107698298251575,0.8261262944178471,0.5765625337209419,,,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.41658448809963666,2,0.05,5,3.975793149585637e-06,1.8537948170285836e-05,0.0003141471369267714,0.00012980119315177805
run_model_2d080_00004,0.9807000145433687,0.7180008318047774,0.9016361701996174,-1.4837621224731985,0.8087412918495138,0.06792758230012354,,,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.4588758046297,2,0.05,5,1.7012581665586315e-05,1.4159002641738985e-05,0.8381878382308892,0.9746299280198961
run_model_2d080_00005,0.9925804768488471,0.9481500030570513,0.931880980080771,-2.6121876543518994,0.7299543887970643,0.47698473867753566,,,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.4742167937922779,2,0.05,20,1.999486851269563e-05,0.00011623587566145872,0.00034704518246694713,0.0035948907446999856
run_model_2d080_00006,0.9858452959669232,0.875102963435021,0.885356266801768,-2.8690479168623644,0.804063794921247,-0.8501774157618454,,,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.41014172899029033,2,0.05,10,4.173339838585534e-06,2.8675174965950767e-05,0.544720931485979,0.3613693690103395
run_model_2d080_00007,0.994274545031636,0.9503232891612411,0.9410825049100056,-2.008595328553123,0.7183136514954496,0.3016716628780766,,,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.3431180786836281,2,0.05,20,1.3901435898886447e-05,9.238642740866005e-06,0.002247216433003018,0.023834174836194107
run_model_2d080_00008,0.9926459692607411,0.9500059538519169,0.9312817372877351,-2.567702141943772,0.7276759012416656,0.4293241787406124,,,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.5561097408019169,2,0.05,20,2.8465262102705984e-06,7.40562017831689e-05,0.21408024377043972,0.00021680104655789
run_model_2d080_00009,0.992674305137336,0.9491031118156331,0.9474355874550232,-1.5366971524102646,0.7372141231207846,0.4208199190286778,,,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.5148393229954733,2,0.05,10,3.011195037241742e-06,0.0004260422723978781,0.002210386615698376,0.00017150316503695493
run_model_2d080_00010,0.9938267144997044,0.9150784259331189,0.9363475794833105,-1.913537326669791,0.7776837833984885,0.07535368872335135,,,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.3801357466597148,2,0.05,10,3.914249822693202e-05,4.91956413795156e-06,0.004151522148940408,0.00016146753089889106
run_model_2d080_00011,0.9917867966340221,0.8720930626004598,0.8880071660158663,-2.4256778871693716,0.756984865867372,0.42087210028066463,,,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.27940521780370214,2,0.05,5,1.5188192442250788e-06,5.508040919108843e-05,0.0487505491116247,0.0015659739427482423
run_model_2d080_00012,0.9941588520386007,0.9358412574990521,0.9507436198602325,-1.0234300865003498,0.7156902166646495,0.2997992256022071,,,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.5768452442025991,2,0.05,20,5.373043250973052e-06,2.0724584806382103e-06,0.5112322143469579,0.03284222757620249
run_model_2d080_00013,0.9925447139946051,0.8949455132861922,0.9447729874802004,-0.8771570650751157,0.8494184263920472,0.63828891271218,,,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.3761508618863136,2,0.05,5,8.112990872598311e-05,3.160002608104065e-05,0.030258946818595134,0.00502243701857817
run_model_2d080_00014,0.9918519110417567,0.9205529784677724,0.9129795980065809,-3.5226623285679604,0.7334418072336597,0.37761267588729536,,,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.5795774699751062,2,0.05,10,8.319366913037657e-06,0.00018758000190104764,0.013099316659429152,0.009765416748471062
run_model_2d080_00015,0.9921994470484153,0.9283701967324707,0.9130010970303475,-4.955799671050677,0.6920179819723893,0.4114205436384695,,,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.514314280285523,2,0.05,20,6.750123188717693e-06,0.00015975362270646024,0.5348583084032942,0.06991518512855577
run_model_2d080_00016,0.9870476457988991,0.6070172225662746,0.8707373859212119,-5.387935571947148,0.7227986816942178,0.13341320478528082,,,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.4916060468305237,2,0.05,5,7.158925736252976e-05,0.0008012694224409808,0.2848133624214829,0.00011450520269350504
run_model_2d080_00017,0.9788969480740934,0.5971901354733081,0.8914942991086623,-2.8404494723522915,0.7785401650922036,0.4573884704860219,,,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.5924780160265377,2,0.05,5,8.211459575535272e-05,2.7944222890926728e-06,0.36286261237414746,0.7771686176112378
run_model_2d080_00018,0.9825320045534034,0.6583928130333675,0.8632496115491992,-4.129764107085052,0.8044851532917914,-0.43901986488622985,,,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.39199516952313285,2,0.05,10,2.9157201573491496e-06,0.0002544730154631358,0.0011601685521086444,0.4944480166074264
run_model_2d080_00019,0.9925759248470897,0.9468193027046662,0.935943782656975,-2.2499914801114964,0.76590275092308,0.4998455461477452,,,,,murray_rec_pfc_ext,odinlin_mvnprior,0,0,0,0.4155737630488747,2,0.05,20,7.682554643764785e-06,0.0006209433036483197,0.08472757617947982,0.00014522548808255627
