name,latent_procrustes_lin,latent_procrustes_rot,input_procrustes_lin,input_procrustes_rot,datamodule,model,model.co_dim,model.dropout_rate,model.gen_cell.rank,model.kl_co_scale,model.kl_ic_scale,model.l2_con_scale,model.l2_gen_scale
run_model_81cc8_00000,1.3944731762101008,0.2970414941037529,1.231371354475121,1.2352814692493224,murray_recnf_pfc,lr_arprior,2,0.2163894095744779,5,1.0790840445381398e-06,0.00027530285650729846,0.02670195766859458,0.447736303184423
run_model_81cc8_00001,1.394546834416323,0.22408632370964307,1.2014236217395826,1.0434950095036146,murray_recnf_pfc,lr_mvnprior,4,0.4174499965861691,8,7.415575271957047e-05,0.00028025970618041296,0.26891628709146725,0.00010255432976732007
run_model_81cc8_00002,1.394709315929339,0.25787286587379665,1.0816324818242,1.0816324818242,murray_recnf_pfc,lr_arprior,1,0.27026224824102363,8,5.3254688005638946e-05,4.2109846735288526e-05,0.004906241083254889,0.0015806931168292108
run_model_81cc8_00003,1.3949789637348067,0.2573568908430182,1.2216488442974007,1.0849882444682117,murray_recnf_pfc,lr_arprior,2,0.2497133105998256,2,2.194061664763006e-05,8.741149231878368e-05,0.003425391510598943,0.02894279349282436
run_model_81cc8_00004,1.3946415548834818,0.2506947125995778,1.3318706123656001,1.201542076918611,murray_recnf_pfc,lr_mvnprior,4,0.4742167937922779,8,1.999486851269563e-05,0.00011623587566145872,0.00034704518246694713,0.0035948907446999856
run_model_81cc8_00005,1.394683060424478,0.24366631239318448,1.25249074371739,1.1388469472333544,murray_recnf_pfc,lr_arprior,2,0.41014172899029033,8,4.173339838585534e-06,2.8675174965950767e-05,0.544720931485979,0.3613693690103395
run_model_81cc8_00006,1.3946868143064175,0.22308668189352537,1.2362622394497857,1.0921230425238555,murray_recnf_pfc,lr_arprior,2,0.32874775643037685,8,1.5438320775328534e-05,1.0321282770792003e-05,0.3639966678769467,0.0036853267721421
run_model_81cc8_00007,1.394879497646484,0.19398304057000085,1.112634315947278,1.112634315947278,murray_recnf_pfc,lr_arprior,1,0.44927485787441696,2,1.4724165394272428e-06,0.00031472587015729465,0.0009067295552309306,0.14073211999726248
run_model_81cc8_00008,1.3945807946878765,0.21530544984632416,1.3252430859916364,1.2042702626459674,murray_recnf_pfc,lr_arprior,4,0.33444682421826416,2,1.9978318559628793e-06,2.2439754432582903e-05,0.0008366982024887132,0.1532135167445378
run_model_81cc8_00009,1.394625370566968,0.2017745809514166,1.3116423510339978,1.2099657569258102,murray_recnf_pfc,lr_mvnprior,4,0.3618207359286113,2,2.4947445872003437e-06,1.8717986807898475e-06,0.0015659739427482423,0.020957020776530798
run_model_81cc8_00010,1.3947894320713108,0.24573279628128317,1.3542702099146326,1.2352285002981627,murray_recnf_pfc,lr_arprior,4,0.5768452442025991,8,5.373043250973052e-06,2.0724584806382103e-06,0.5112322143469579,0.03284222757620249
run_model_81cc8_00011,1.4756275322557344,1.2741650728633314,1.4921831334005609,1.4903182876296717,murray_recnf_pfc,lr_mvnprior,2,0.5818361974762949,5,9.995203193841142e-06,1.886626257594488e-05,0.9558418047801032,0.030258946818595134
run_model_81cc8_00012,1.3947521264930933,0.22266785337191236,1.3365440233598402,1.1928566415884103,murray_recnf_pfc,lr_arprior,4,0.5030915381233165,2,9.882012319599208e-06,3.872010092072568e-05,0.004556416306286427,0.13904097446453836
run_model_81cc8_00013,1.3948585702308964,0.34245793767564014,1.0309142424495001,1.0309142424495001,murray_recnf_pfc,lr_mvnprior,1,0.48445715119589994,8,7.31340077120962e-05,2.2120650793541792e-06,0.5125021769718517,0.0824252870568575
run_model_81cc8_00014,1.3953655123323938,0.22273902626506684,1.3185390452389871,1.2288206234445003,murray_recnf_pfc,lr_arprior,4,0.5454560360982303,8,9.17043802367711e-05,0.0007440986880783408,0.7771686176112378,0.0003936008692949492
run_model_81cc8_00015,1.3948712836407688,0.28711047925056565,1.249040373875955,1.1458504903435713,murray_recnf_pfc,lr_mvnprior,2,0.5289495310172281,8,9.119601211802485e-06,4.978732110473153e-06,0.4944480166074264,0.16125838828239542
run_model_81cc8_00016,1.3950037260765682,0.27001119793172634,0.9925328990207811,0.992532899020781,murray_recnf_pfc,lr_arprior,1,0.3771011315898126,5,7.278378422250213e-05,1.3229155872682771e-06,0.028674310771021234,0.08472757617947982
run_model_81cc8_00017,1.395051151482786,0.23073318518142139,1.256551505152573,1.2120882302715978,murray_recnf_pfc,lr_arprior,2,0.4876879091306961,2,1.0764242151322422e-06,0.00018786808438546034,0.5204953850233812,0.011246953330982433
run_model_81cc8_00018,1.394586990955,0.24893519570663583,1.0885435131311711,1.088543513131171,murray_recnf_pfc,lr_mvnprior,1,0.22667600350684058,5,4.88224936504485e-06,1.9538723894770714e-05,0.017738927915705752,0.73155725749674
run_model_81cc8_00019,1.3949208756063711,0.28473965600296613,1.3242372909850393,1.1753104513758534,murray_recnf_pfc,lr_arprior,4,0.296670285637738,2,5.973606918604021e-05,4.760014604973908e-06,0.001423387108142767,0.000314933473619592
